username,date,hms,post_num,num_likes
colabear,"Jan 21, 2019",2:48 PM,9621469,10.0
Chunsak,"Jan 21, 2019",4:22 PM,9621592,
g transistor,"Jan 21, 2019",6:43 PM,9621732,18.0
noob in 89,"Jan 21, 2019",7:08 PM,9621755,
Benesyed,"Jan 21, 2019",7:26 PM,9621774,28.0
jet,"Jan 21, 2019",7:42 PM,9621783,
Benesyed,"Jan 21, 2019",7:45 PM,9621789,
cyc wid it,"Jan 22, 2019",7:45 AM,9622190,33.0
FrankCowperwood,"Jan 22, 2019",7:48 AM,9622197,9.0
cyc wid it,"Jan 22, 2019",8:05 AM,9622219,
bbconair,"Jan 22, 2019",8:13 AM,9622234,
MaiLam,"Jan 22, 2019",10:16 AM,9622389,5.0
cyc wid it,"Jan 22, 2019",11:38 AM,9622543,
RegisDB9,"Jan 22, 2019",3:44 PM,9622882,
RegisDB9,"Jan 22, 2019",5:08 PM,9622970,23.0
1up,"Jan 22, 2019",5:12 PM,9622974,
Benesyed,"Jan 22, 2019",7:44 PM,9623161,21.0
jet,"Jan 22, 2019",7:55 PM,9623171,
Benesyed,"Jan 22, 2019",7:59 PM,9623174,
MGoCrimson,"Jan 22, 2019",8:02 PM,9623178,
Benesyed,"Jan 22, 2019",8:05 PM,9623180,
oulipien,"Jan 22, 2019",8:38 PM,9623220,7.0
el Bert,"Jan 22, 2019",9:28 PM,9623266,
flowcharts,"Jan 23, 2019",5:21 AM,9623452,
Benesyed,"Jan 23, 2019",5:23 AM,9623456,
flowcharts,"Jan 23, 2019",6:27 AM,9623533,
Spehsmonkey,"Jan 23, 2019",8:18 AM,9623684,
e0d9n0b5,"Jan 23, 2019",9:02 AM,9623744,
Benesyed,"Jan 23, 2019",10:28 AM,9623859,
mythage,"Jan 23, 2019",3:07 PM,9624283,
Sriracha,"Jan 23, 2019",5:27 PM,9624461,6.0
HommeBoy007,"Jan 23, 2019",11:17 PM,9624779,
HommeBoy007,"Jan 23, 2019",11:27 PM,9624783,
Sriracha,"Jan 24, 2019",6:57 AM,9625010,
cyc wid it,"Jan 24, 2019",8:23 AM,9625138,20.0
nahneun,"Jan 24, 2019",8:28 AM,9625147,12.0
RegisDB9,"Jan 24, 2019",9:37 AM,9625248,
faue,"Jan 24, 2019",11:31 AM,9625421,41.0
beneficialmovie,"Jan 24, 2019",12:58 PM,9625525,17.0
RegisDB9,"Jan 24, 2019",4:53 PM,9625858,14.0
zissou,"Jan 24, 2019",5:36 PM,9625896,
RegisDB9,"Jan 24, 2019",5:42 PM,9625907,12.0
hendrix,"Jan 24, 2019",6:31 PM,9625991,
RegisDB9,"Jan 24, 2019",6:50 PM,9626015,
HommeBoy007,"Jan 25, 2019",12:14 AM,9626190,
Slin,"Jan 25, 2019",2:30 AM,9626212,
Benesyed,"Jan 25, 2019",5:27 AM,9626283,
Benesyed,"Jan 25, 2019",5:28 AM,9626284,
Slin,"Jan 25, 2019",6:10 AM,9626329,
Benesyed,"Jan 25, 2019",6:12 AM,9626333,
Newcomer,"Jan 25, 2019",6:36 AM,9626366,46.0
steveoffice,"Jan 25, 2019",7:17 AM,9626433,
Nyarlathotep,"Jan 25, 2019",7:19 AM,9626434,
Benesyed,"Jan 25, 2019",7:26 AM,9626444,
Slin,"Jan 25, 2019",7:56 AM,9626489,
karting,"Jan 25, 2019",10:43 AM,9626715,
e0d9n0b5,"Jan 25, 2019",10:56 AM,9626732,13.0
Newcomer,"Jan 25, 2019",11:37 AM,9626823,10.0
Big Pun,"Jan 25, 2019",3:15 PM,9627160,
DLester,"Jan 25, 2019",8:10 PM,9627448,
Benesyed,"Jan 25, 2019",8:10 PM,9627449,24.0
jet,"Jan 25, 2019",8:41 PM,9627474,
Benesyed,"Jan 25, 2019",8:46 PM,9627479,
Chunsak,"Jan 25, 2019",8:50 PM,9627483,36.0
AJL,"Jan 25, 2019",8:57 PM,9627489,
nicelynice,"Jan 26, 2019",2:59 AM,9627608,41.0
Benesyed,"Jan 26, 2019",6:13 AM,9627739,
FrankCowperwood,"Jan 26, 2019",7:23 AM,9627805,
DLester,"Jan 26, 2019",8:22 AM,9627882,
RegisDB9,"Jan 26, 2019",10:30 AM,9628117,
#dadcore,"Jan 26, 2019",11:22 AM,9628177,19.0
Benesyed,"Jan 26, 2019",11:29 AM,9628184,
FlyingMonkey,"Jan 26, 2019",2:19 PM,9628424,
MGoCrimson,"Jan 26, 2019",2:38 PM,9628457,
#dadcore,"Jan 26, 2019",2:49 PM,9628473,
FlyingMonkey,"Jan 26, 2019",3:41 PM,9628542,
dalevy,"Jan 26, 2019",4:09 PM,9628584,24.0
gettoasty,"Jan 26, 2019",4:31 PM,9628622,45.0
Melbush,"Jan 26, 2019",5:25 PM,9628690,
Spehsmonkey,"Jan 26, 2019",6:28 PM,9628758,5.0
DLester,"Jan 26, 2019",6:46 PM,9628779,
cyc wid it,"Jan 26, 2019",6:49 PM,9628781,
jet,"Jan 26, 2019",6:57 PM,9628786,
DLester,"Jan 26, 2019",6:58 PM,9628790,
Benesyed,"Jan 26, 2019",8:36 PM,9628890,
Patrick R,"Jan 26, 2019",8:38 PM,9628893,
mythage,"Jan 26, 2019",8:59 PM,9628907,
jet,"Jan 26, 2019",9:02 PM,9628910,
Benesyed,"Jan 26, 2019",9:35 PM,9628925,
gettoasty,"Jan 26, 2019",9:35 PM,9628926,
OccultaVexillum,"Jan 27, 2019",5:35 AM,9629062,
Benesyed,"Jan 27, 2019",6:45 AM,9629130,
Homme,"Jan 27, 2019",6:53 AM,9629136,
troika,"Jan 27, 2019",7:34 AM,9629199,
endorphinz,"Jan 27, 2019",11:44 AM,9629531,16.0
chameshi_nampa,"Jan 27, 2019",2:52 PM,9629814,12.0
RegisDB9,"Jan 27, 2019",8:42 PM,9630099,42.0
Joytropics,"Jan 28, 2019",7:04 AM,9630362,6.0
HommeBoy007,"Jan 28, 2019",8:06 AM,9630417,
cyc wid it,"Jan 28, 2019",8:47 AM,9630493,14.0
RegisDB9,"Jan 28, 2019",8:48 AM,9630497,5.0
jet,"Jan 28, 2019",10:36 AM,9630631,
Benesyed,"Jan 28, 2019",10:52 AM,9630661,
HommeBoy007,"Jan 28, 2019",11:06 AM,9630673,
RegisDB9,"Jan 28, 2019",11:18 AM,9630689,
